Index,Name,Emergency,Prescaled,Accept
0,L1_AlwaysTrue,0.0,0,0
1,L1_ZeroBias,17881.0,1373,1
2,L1_ZeroBias_copy,0.0,0,0
3,L1_BPTX_AND_Ref1_VME,0.0,0,0
4,L1_BPTX_AND_Ref3_VME,0.0,0,0
5,L1_BPTX_AND_Ref4_VME,0.0,0,0
6,L1_BPTX_BeamGas_B1_VME,0.0,0,0
7,L1_BPTX_BeamGas_B2_VME,0.0,0,0
8,L1_BPTX_BeamGas_Ref1_VME,0.0,0,0
9,L1_BPTX_BeamGas_Ref2_VME,0.0,0,0
10,L1_BPTX_NotOR_VME,0.0,0,0
11,L1_BPTX_OR_Ref3_VME,0.0,0,0
12,L1_BPTX_OR_Ref4_VME,0.0,0,0
13,L1_BPTX_RefAND_VME,0.0,0,0
14,L1_BptxMinus,0.0,0,0
15,L1_BptxOR,0.0,0,0
16,L1_BptxPlus,0.0,0,0
17,L1_BptxXOR,0.0,0,0
18,L1_NotBptxOR,0.0,0,0
19,L1_LastBunchInTrain,0.0,0,0
20,L1_SecondBunchInTrain,0.0,0,0
21,L1_SecondLastBunchInTrain,0.0,0,0
22,L1_FirstBunchAfterTrain,0.0,0,0
23,L1_FirstBunchInTrain,0.0,0,0
24,L1_FirstCollisionInTrain,0.0,0,0
25,L1_LastCollisionInTrain,0.0,0,0
26,L1_FirstCollisionInOrbit,0.0,0,0
27,L1_IsolatedBunch,0.0,0,0
28,L1_FirstBunchBeforeTrain,0.0,0,0
29,L1_UnpairedBunchBptxPlus,0.0,0,0
30,L1_UnpairedBunchBptxMinus,0.0,0,0
31,L1_DoubleEG_22_10_er2p5,0.0,0,0
32,L1_DoubleEG_25_12_er2p5,0.0,0,0
33,L1_DoubleEG_25_14_er2p5,0.0,0,0
34,L1_DoubleJet100er2p5,0.0,0,0
35,L1_DoubleJet120er2p5,0.0,0,0
36,L1_DoubleJet40er2p5,0.0,0,0
37,L1_DoubleMu_12_5,0.0,0,0
38,L1_DoubleMu_15_7,0.0,0,0
39,L1_ETT2000,0.0,0,0
40,L1_HCAL_LaserMon_Trig,0.0,0,0
41,L1_HCAL_LaserMon_Veto,0.0,0,0
42,L1_HTT120er,0.0,0,0
43,L1_HTT160er,0.0,0,0
44,L1_HTT200er,0.0,0,0
45,L1_HTT255er,0.0,0,0
46,L1_HTT280er,0.0,0,0
47,L1_HTT320er,0.0,0,0
48,L1_HTT360er,0.0,0,0
49,L1_HTT400er,0.0,0,0
50,L1_HTT450er,0.0,0,0
51,L1_QuadJet60er2p5,0.0,0,0
52,L1_SingleEG10er2p5,0.0,0,0
53,L1_SingleEG15er2p5,0.0,0,0
54,L1_SingleEG26er2p5,0.0,0,0
55,L1_SingleEG34er2p5,0.0,0,0
56,L1_SingleEG36er2p5,0.0,0,0
57,L1_SingleEG38er2p5,0.0,0,0
58,L1_SingleEG40er2p5,0.0,0,0
59,L1_SingleEG42er2p5,0.0,0,0
60,L1_SingleEG45er2p5,0.0,0,0
61,L1_SingleEG60,0.0,0,0
62,L1_SingleEG8er2p5,0.0,0,0
63,L1_SingleIsoEG24er2p1,0.0,0,0
64,L1_SingleIsoEG26er2p1,0.0,0,0
65,L1_SingleIsoEG26er2p5,0.0,0,0
66,L1_SingleIsoEG28er2p1,0.0,0,0
67,L1_SingleIsoEG28er2p5,0.0,0,0
68,L1_SingleIsoEG30er2p1,0.0,0,0
69,L1_SingleIsoEG30er2p5,0.0,0,0
70,L1_SingleIsoEG32er2p1,0.0,0,0
71,L1_SingleIsoEG32er2p5,0.0,0,0
72,L1_SingleIsoEG34er2p5,0.0,0,0
73,L1_SingleJet10erHE,0.0,0,0
74,L1_SingleJet12erHE,0.0,0,0
75,L1_SingleJet140er2p5,0.0,0,0
76,L1_SingleJet160er2p5,0.0,0,0
77,L1_SingleMu18,0.0,0,0
78,L1_SingleMu20,0.0,0,0
79,L1_SingleMu25,0.0,0,0
80,L1_SingleMuOpen_er1p4_NotBptxOR_3BX,0.0,0,0
81,L1_SingleMuOpen_er1p1_NotBptxOR_3BX,0.0,0,0
82,L1_TripleEG_18_17_8_er2p5,0.0,0,0
83,L1_SingleJet8erHE,0.0,0,0
84,L1_TripleMu_5_3_3,0.0,0,0
85,L1_TripleMu_5_5_3,0.0,0,0
86,L1_SingleMu16,0.0,0,0
87,L1_SingleMu30,0.0,0,0
97,L1_DoubleEG_10_10,0.0,1,1
98,L1_DoubleEG_10_5,0.0,0,1
99,L1_DoubleEG_15_5,0.0,0,1
100,L1_DoubleEG_15_10,0.0,1,1
101,L1_DoubleEG_18_17,0.0,1,1
102,L1_DoubleEG_20_18,0.0,1,1
103,L1_DoubleEG_22_10,0.0,1,1
104,L1_DoubleEG_22_12,0.0,1,1
105,L1_DoubleEG_22_15,0.0,1,1
106,L1_DoubleEG_23_10,0.0,1,1
107,L1_DoubleEG_24_17,0.0,1,1
108,L1_DoubleEG_25_12,0.0,1,1
109,L1_DoubleEG_25_13,0.0,1,1
110,L1_DoubleEG_25_14,0.0,1,1
128,L1_SingleMuShower_Tight,0.0,1,1
129,L1_SingleMuShower_Nominal,0.0,1,1
136,L1_MinimumBiasHF0_AND_BptxAND,0.0,0,1
137,L1_MinimumBiasHF0_OR_BptxAND,0.0,0,1
151,L1_DoubleJet40er2p7,0.0,0,0
152,L1_DoubleJet50er2p7,0.0,0,0
153,L1_DoubleJet60er2p7,0.0,0,0
154,L1_DoubleJet80er2p7,0.0,0,0
155,L1_DoubleJet100er2p7,0.0,0,0
156,L1_DoubleJet112er2p7,0.0,0,0
157,L1_DoubleJet120er2p7,0.0,0,0
158,L1_DoubleJet150er2p7,0.0,0,0
160,L1_SingleMuCosmics,0.0,0,1
161,L1_SingleMuCosmics_BMTF,0.0,0,1
162,L1_SingleMuCosmics_OMTF,0.0,0,1
163,L1_SingleMuCosmics_EMTF,0.0,0,1
164,L1_SingleMu0,0.0,0,1
165,L1_SingleMu3,0.0,1,1
166,L1_SingleMu5,0.0,1,1
167,L1_SingleMu7,0.0,1,1
168,L1_SingleMu12,0.0,1,1
169,L1_SingleMu22,0.0,1,1
170,L1_SingleMu10_LowQ,0.0,1,1
171,L1_SingleMuOpen,0.0,0,1
172,L1_SingleMuOpen_NotBptxOR,0.0,0,1
180,L1_DoubleMu0,0.0,1,1
181,L1_DoubleMu10,0.0,1,1
182,L1_DoubleMuOpen,0.0,1,1
183,L1_DoubleMuOpen_OS,0.0,1,1
184,L1_DoubleMuOpen_SS,0.0,1,1
185,L1_DoubleMu0_SQ,0.0,1,1
186,L1_DoubleMu0_SQ_OS,0.0,1,1
190,L1_LooseIsoEG15er2p1_Jet12er2p7_dR_Min0p3,0.0,0,1
191,L1_LooseIsoEG18er2p1_Jet16er2p7_dR_Min0p3,0.0,0,1
192,L1_SingleEG15er2p1_Jet12er2p7_dR_Min0p3,0.0,0,1
193,L1_SingleEG18er2p1_Jet16er2p7_dR_Min0p3,0.0,0,1
194,L1_SingleEG2_BptxAND,0.0,0,1
195,L1_SingleEG5,0.0,0,1
196,L1_SingleEG10,0.0,0,1
197,L1_SingleEG15,0.0,0,1
198,L1_SingleEG18,0.0,0,1
199,L1_SingleEG21,0.0,1,1
200,L1_SingleEG24,0.0,1,1
201,L1_SingleEG26,0.0,1,1
202,L1_SingleEG28,0.0,1,1
203,L1_SingleEG30,0.0,1,1
204,L1_SingleEG32,0.0,1,1
205,L1_SingleEG34,0.0,1,1
206,L1_SingleEG36,0.0,1,1
207,L1_SingleEG38,0.0,1,1
208,L1_SingleEG40,0.0,1,1
209,L1_SingleEG42,0.0,1,1
210,L1_SingleEG45,0.0,1,1
211,L1_SingleEG50,0.0,1,1
232,L1_SingleIsoEG18,0.0,1,1
233,L1_SingleIsoEG20,0.0,1,1
234,L1_SingleIsoEG22,0.0,1,1
235,L1_SingleIsoEG24,0.0,1,1
236,L1_SingleIsoEG26,0.0,1,1
237,L1_SingleIsoEG28,0.0,1,1
238,L1_SingleIsoEG30,0.0,1,1
239,L1_SingleIsoEG32,0.0,1,1
240,L1_SingleIsoEG34,0.0,1,1
241,L1_SingleIsoEG35,0.0,1,1
242,L1_SingleIsoEG36,0.0,1,1
243,L1_SingleIsoEG37,0.0,1,1
244,L1_SingleIsoEG38,0.0,1,1
245,L1_SingleIsoEG40,0.0,1,1
264,L1_SingleJet8_BptxAND,0.0,0,1
265,L1_SingleJet16,0.0,0,1
266,L1_SingleJet20,0.0,0,1
267,L1_SingleJet24,,5,1
268,L1_SingleJet28,0.0,0,1
269,L1_SingleJet32,0.0,0,1
270,L1_SingleJet35,0.0,3,1
271,L1_SingleJet40,0.0,1,1
272,L1_SingleJet44,0.0,1,1
273,L1_SingleJet48,0.0,1,1
274,L1_SingleJet50,0.0,1,1
275,L1_SingleJet56,0.0,1,1
276,L1_SingleJet60,0.0,1,1
277,L1_SingleJet80,0.0,1,1
278,L1_SingleJet90,0.0,1,1
279,L1_SingleJet120,0.0,1,1
280,L1_SingleJet140,0.0,1,1
281,L1_SingleJet150,0.0,1,1
282,L1_SingleJet160,0.0,1,1
283,L1_SingleJet170,0.0,1,1
284,L1_SingleJet180,0.0,1,1
285,L1_SingleJet200,0.0,1,1
320,L1_SingleJet35_FWD2p5,0.0,3,1
321,L1_SingleJet60_FWD2p5,0.0,1,1
322,L1_SingleJet90_FWD2p5,0.0,1,1
323,L1_SingleJet120_FWD2p5,0.0,1,1
384,L1_ZDC1n_OR_MinimumBiasHF1_AND_BptxAND,0.0,0,0
385,L1_ZDC1n_Bkp1_OR_MinimumBiasHF1_AND_BptxAND,0.0,0,0
386,L1_ZDC1n_Bkp2_OR_MinimumBiasHF1_AND_BptxAND,0.0,0,0
387,L1_ZDC1n_Bkp3_OR_MinimumBiasHF1_AND_BptxAND,0.0,0,0
392,L1_ZDC2n_OR_MinimumBiasHF1_AND_BptxAND,0.0,0,0
393,L1_ZDC2n_Bkp1_OR_MinimumBiasHF1_AND_BptxAND,0.0,0,0
394,L1_ZDC2n_Bkp2_OR_MinimumBiasHF1_AND_BptxAND,0.0,0,0
395,L1_ZDC2n_Bkp3_OR_MinimumBiasHF1_AND_BptxAND,0.0,0,0
400,L1_ZDC3n_OR_MinimumBiasHF1_AND_BptxAND,0.0,0,0
401,L1_ZDC3n_Bkp1_OR_MinimumBiasHF1_AND_BptxAND,0.0,0,0
402,L1_ZDC3n_Bkp2_OR_MinimumBiasHF1_AND_BptxAND,0.0,0,0
403,L1_ZDC3n_Bkp3_OR_MinimumBiasHF1_AND_BptxAND,0.0,0,0
408,L1_ZDC1n_AND_MinimumBiasHF1_AND_BptxAND,0.0,0,0
409,L1_ZDC1n_Bkp1_AND_MinimumBiasHF1_AND_BptxAND,0.0,0,0
410,L1_ZDC1n_Bkp2_AND_MinimumBiasHF1_AND_BptxAND,0.0,0,0
411,L1_ZDC1n_Bkp3_AND_MinimumBiasHF1_AND_BptxAND,0.0,0,0
416,L1_ZDC1n_OR_MinimumBiasHF2_AND_BptxAND,0.0,0,0
417,L1_ZDC1n_Bkp1_OR_MinimumBiasHF2_AND_BptxAND,0.0,0,0
418,L1_ZDC1n_Bkp2_OR_MinimumBiasHF2_AND_BptxAND,0.0,0,0
419,L1_ZDC1n_Bkp3_OR_MinimumBiasHF2_AND_BptxAND,0.0,0,0
424,L1_ZDC2n_OR_MinimumBiasHF2_AND_BptxAND,0.0,0,0
425,L1_ZDC2n_Bkp1_OR_MinimumBiasHF2_AND_BptxAND,0.0,0,0
426,L1_ZDC2n_Bkp2_OR_MinimumBiasHF2_AND_BptxAND,0.0,0,0
427,L1_ZDC2n_Bkp3_OR_MinimumBiasHF2_AND_BptxAND,0.0,0,0
432,L1_ZDC3n_OR_MinimumBiasHF2_AND_BptxAND,0.0,0,0
433,L1_ZDC3n_Bkp1_OR_MinimumBiasHF2_AND_BptxAND,0.0,0,0
434,L1_ZDC3n_Bkp2_OR_MinimumBiasHF2_AND_BptxAND,0.0,0,0
435,L1_ZDC3n_Bkp3_OR_MinimumBiasHF2_AND_BptxAND,0.0,0,0
440,L1_ZDC1n_AND_MinimumBiasHF2_AND_BptxAND,0.0,0,0
441,L1_ZDC1n_Bkp1_AND_MinimumBiasHF2_AND_BptxAND,0.0,0,0
442,L1_ZDC1n_Bkp2_AND_MinimumBiasHF2_AND_BptxAND,0.0,0,0
443,L1_ZDC1n_Bkp3_AND_MinimumBiasHF2_AND_BptxAND,0.0,0,0
448,L1_ZDC1n_OR_BptxAND,0.0,0,0
449,L1_ZDC1n_Bkp1_OR_BptxAND,0.0,0,0
450,L1_ZDC1n_Bkp2_OR_BptxAND,0.0,0,0
451,L1_ZDC1n_Bkp3_OR_BptxAND,0.0,0,0
456,L1_ZDC1n_XOR_MinimumBiasHF1_AND_BptxAND,0.0,0,0
457,L1_ZDC1n_Bkp1_XOR_MinimumBiasHF1_AND_BptxAND,0.0,0,0
458,L1_ZDC1n_Bkp2_XOR_MinimumBiasHF1_AND_BptxAND,0.0,0,0
459,L1_ZDC1n_Bkp3_XOR_MinimumBiasHF1_AND_BptxAND,0.0,0,0
464,L1_ZDC1n_XOR_MinimumBiasHF2_AND_BptxAND,0.0,0,0
465,L1_ZDC1n_Bkp1_XOR_MinimumBiasHF2_AND_BptxAND,0.0,0,0
466,L1_ZDC1n_Bkp2_XOR_MinimumBiasHF2_AND_BptxAND,0.0,0,0
467,L1_ZDC1n_Bkp3_XOR_MinimumBiasHF2_AND_BptxAND,0.0,0,0
472,L1_SingleEG2_ZDC1n_OR_NotMinimumBiasHF2_AND_BptxAND,0.0,0,0
473,L1_SingleEG2_ZDC1n_Bkp1_OR_NotMinimumBiasHF2_AND_BptxAND,0.0,0,0
474,L1_SingleEG2_ZDC1n_Bkp2_OR_NotMinimumBiasHF2_AND_BptxAND,0.0,0,0
475,L1_SingleEG2_ZDC1n_Bkp3_OR_NotMinimumBiasHF2_AND_BptxAND,0.0,0,0
